File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
gui_time.o,0.074517%,116,4,112,0,4,0
_printf_oct_int_ll.o,0.071947%,112,0,112,0,0,0
wm_getwindowsize.o,0.065523%,102,0,102,0,0,0
rt_memcpy_w.o,0.064238%,100,0,100,0,0,0
guidev_setorg.o,0.064238%,100,0,100,0,0,0
wm_setfocusonprevchild.o,0.061669%,96,0,96,0,0,0
dfix.o,0.060384%,94,0,94,0,0,0
main.o,0.059099%,92,4,88,0,4,0
__dczerorl2.o,0.057815%,90,0,90,0,0,0
guidev_usage.o,0.053960%,84,0,84,0,0,0
gui_uc.o,0.053960%,84,0,84,0,0,0
_printf_str.o,0.052676%,82,0,82,0,0,0
rt_memclr_w.o,0.050106%,78,0,78,0,0,0
_printf_pad.o,0.050106%,78,0,78,0,0,0
sys_stackheap_outer.o,0.047536%,74,0,74,0,0,0
strcpy.o,0.046252%,72,0,72,0,0,0
lc_numeric_c.o,0.046252%,72,0,44,28,0,0
_c16rtomb.o,0.046252%,72,0,72,0,0,0
wm_settrans.o,0.046252%,72,0,72,0,0,0
rt_memclr.o,0.043682%,68,0,68,0,0,0
guidev_clear.o,0.043682%,68,0,68,0,0,0
lcd_selectlcd.o,0.041113%,64,0,64,0,0,0
btim.o,0.041113%,64,72,64,0,0,72
strlen.o,0.039828%,62,0,62,0,0,0
guicc_8888.o,0.038543%,60,0,36,24,0,0
guidev_reduceysize.o,0.035974%,56,0,56,0,0,0
gui_selectlayer.o,0.035974%,56,0,56,0,0,0
guiconf.o,0.035974%,56,4,52,0,4,0
led_app.o,0.034689%,54,0,54,0,0,0
__scatter.o,0.033404%,52,0,52,0,0,0
guidev_getysize.o,0.033404%,52,0,52,0,0,0
m_wm.l,0.030834%,48,0,48,0,0,0
fpclassify.o,0.030834%,48,0,48,0,0,0
_printf_char_common.o,0.030834%,48,0,48,0,0,0
lcd_setcliprectex.o,0.030834%,48,0,48,0,0,0
dflt_clz.o,0.029550%,46,0,46,0,0,0
system_stm32f4xx.o,0.029550%,46,4,18,24,4,0
_printf_wchar.o,0.028265%,44,0,44,0,0,0
_printf_char.o,0.028265%,44,0,44,0,0,0
gui_draw.o,0.028265%,44,0,44,0,0,0
_printf_charcount.o,0.025695%,40,0,40,0,0,0
guidev_getdataptr.o,0.025695%,40,0,40,0,0,0
_printf_truncate.o,0.023126%,36,0,36,0,0,0
_printf_char_file.o,0.023126%,36,0,36,0,0,0
lcd_updatecolorindices.o,0.023126%,36,0,36,0,0,0
gui_setalpha.o,0.023126%,36,0,36,0,0,0
libinit2.o,0.021841%,34,0,34,0,0,0
gui_uc_encodenone.o,0.021841%,34,0,18,16,0,0
lcd_getcolorindex.o,0.020556%,32,0,32,0,0,0
gui_encext.o,0.020556%,32,0,32,0,0,0
__scatter_zi.o,0.017987%,28,0,28,0,0,0
gui_waitevent.o,0.017987%,28,12,16,0,12,0
fpinit.o,0.016702%,26,0,26,0,0,0
lcd_getnumdisplays.o,0.016702%,26,0,26,0,0,0
printf.o,0.015417%,24,0,24,0,0,0
memset.o,0.014132%,22,0,22,0,0,0
stm32f4xx_it.o,0.012848%,20,0,20,0,0,0
exit.o,0.011563%,18,0,18,0,0,0
rt_ctype_table.o,0.010278%,16,0,16,0,0,0
aeabi_memset4.o,0.010278%,16,0,16,0,0,0
aeabi_memset.o,0.010278%,16,0,16,0,0,0
stm32f4xx_hal_tim_ex.o,0.010278%,16,0,16,0,0,0
__printf_wp.o,0.008993%,14,0,14,0,0,0
dretinf.o,0.007709%,12,0,12,0,0,0
__rtentry2.o,0.007709%,12,0,12,0,0,0
rtexit2.o,0.006424%,10,0,10,0,0,0
_printf_ll.o,0.006424%,10,0,10,0,0,0
_printf_l.o,0.006424%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.005139%,8,0,8,0,0,0
memcpy.o,0.005139%,8,0,8,0,0,0
libspace.o,0.005139%,8,96,8,0,0,96
ferror.o,0.005139%,8,0,8,0,0,0
__main.o,0.005139%,8,0,8,0,0,0
heapauxi.o,0.003854%,6,0,6,0,0,0
_printf_x.o,0.003854%,6,0,6,0,0,0
_printf_u.o,0.003854%,6,0,6,0,0,0
_printf_s.o,0.003854%,6,0,6,0,0,0
_printf_p.o,0.003854%,6,0,6,0,0,0
_printf_o.o,0.003854%,6,0,6,0,0,0
_printf_n.o,0.003854%,6,0,6,0,0,0
_printf_ls.o,0.003854%,6,0,6,0,0,0
_printf_llx.o,0.003854%,6,0,6,0,0,0
_printf_llu.o,0.003854%,6,0,6,0,0,0
_printf_llo.o,0.003854%,6,0,6,0,0,0
_printf_lli.o,0.003854%,6,0,6,0,0,0
_printf_lld.o,0.003854%,6,0,6,0,0,0
_printf_lc.o,0.003854%,6,0,6,0,0,0
_printf_i.o,0.003854%,6,0,6,0,0,0
_printf_g.o,0.003854%,6,0,6,0,0,0
_printf_f.o,0.003854%,6,0,6,0,0,0
_printf_e.o,0.003854%,6,0,6,0,0,0
_printf_d.o,0.003854%,6,0,6,0,0,0
_printf_c.o,0.003854%,6,0,6,0,0,0
_printf_a.o,0.003854%,6,0,6,0,0,0
__rtentry4.o,0.003854%,6,0,6,0,0,0
printf2.o,0.002570%,4,0,4,0,0,0
printf1.o,0.002570%,4,0,4,0,0,0
_printf_percent_end.o,0.002570%,4,0,4,0,0,0
use_no_semi_2.o,0.001285%,2,0,2,0,0,0
use_no_semi.o,0.001285%,2,0,2,0,0,0
rtexit.o,0.001285%,2,0,2,0,0,0
libshutdown2.o,0.001285%,2,0,2,0,0,0
libshutdown.o,0.001285%,2,0,2,0,0,0
libinit.o,0.001285%,2,0,2,0,0,0
guicc_8888_index2color.o,0.001285%,2,0,2,0,0,0
